name,description,category,quantity,price
Hammer,Heavy-duty hammer for construction work,Hand Tools,50,15.00
Screwdriver Set,Set of 10 screwdrivers for various tasks,Hand Tools,100,25.00
Wrench Set,Adjustable wrench set for different sizes,Hand Tools,30,35.00
Pliers,Heavy-duty pliers for gripping and bending,Hand Tools,60,12.00
Tape Measure,20-meter retractable tape measure,Hand Tools,40,8.00
Construction Helmet,Durable helmet for safety on construction sites,Safety Equipment,200,10.00
Safety Gloves,Protective gloves for hand safety,Safety Equipment,150,5.00
Safety Boots,Steel-toed boots for foot protection,Safety Equipment,100,45.00
High-Visibility Vest,Reflective vest for visibility on job sites,Safety Equipment,180,7.00
Electric Drill,Power drill with multiple speed settings,Power Tools,25,50.00
Angle Grinder,Angle grinder for cutting and grinding,Power Tools,20,75.00
Jigsaw,Compact jigsaw for precise cuts,Power Tools,18,65.00
Circular Saw,Heavy-duty circular saw for cutting wood and metal,Power Tools,15,120.00
